System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:50:20:527, 291193296011688,    0.108,   11.000, 4200,  33.104,   3.559,   0.989,  27.944,   3.004,   0.834, 76,  0,   1.413,   0.152,   0.042,   0.064,   0.007,   0.002, 107.000, 107.000, 163.000,   0.000,   0.000,  773,  13.086
02:50:20:635, 291193576924645,    0.216,    9.000,  800,  24.641,   6.229,   1.730,  19.881,   5.159,   1.433, 67,  0,   1.125,   0.274,   0.076,   0.023,   0.009,   0.003, 107.000, 107.000, 163.000,   0.000,   0.000,    7,   0.000
02:50:20:744, 291193860019214,    0.325,    4.000,  800,  11.792,   7.517,   2.088,   7.184,   5.943,   1.651, 64,  0,   0.684,   0.348,   0.097,   0.048,   0.015,   0.004, 107.000, 107.000, 163.000,   0.000,   0.000,   16,   0.000
02:50:20:853, 291194141601618,    0.434,    6.000,  800,  10.289,   8.635,   2.399,   5.716,   6.564,   1.823, 62,  0,   0.727,   0.427,   0.119,   0.033,   0.018,   0.005, 107.000, 107.000, 163.000,   0.000,   0.000,   12,   0.000
02:50:20:961, 291194421832739,    0.542,    7.000, 4300,  14.041,  10.153,   2.820,   9.482,   7.589,   2.108, 64,  0,   0.777,   0.511,   0.142,   0.034,   0.022,   0.006, 107.000, 107.000, 163.000,   0.000,   0.000,   12,   0.000
02:50:21:068, 291194700236744,    0.649,    5.000, 4300,  11.539,  11.392,   3.165,   6.964,   8.337,   2.316, 62,  0,   0.733,   0.590,   0.164,   0.025,   0.025,   0.007, 107.000, 107.000, 163.000,   0.000,   0.000,    7,   0.000
02:50:21:178, 291194985171256,    0.759,    6.000, 4300,   8.379,  12.313,   3.420,   3.835,   8.759,   2.433, 60,  0,   0.722,   0.670,   0.186,   0.013,   0.026,   0.007, 107.000, 107.000, 163.000,   0.000,   0.000,    7,   0.000
02:50:21:288, 291195268975634,    0.869,    6.000,  800,  12.457,  13.677,   3.799,   7.888,   9.623,   2.673, 61,  0,   0.804,   0.758,   0.210,   0.018,   0.028,   0.008, 107.000, 107.000, 163.000,   0.000,   0.000,    7,   0.000
02:50:21:397, 291195551604850,    0.978,    4.000, 3600,   9.805,  14.747,   4.096,   5.285,  10.199,   2.833, 60,  0,   0.696,   0.833,   0.232,   0.032,   0.031,   0.009, 107.000, 107.000, 163.000,   0.000,   0.000,   12,   0.000
02:50:21:506, 291195833298384,    1.086,   15.000, 4200,  24.585,  17.418,   4.838,  20.089,  12.382,   3.439, 76,  0,   1.245,   0.969,   0.269,   0.025,   0.034,   0.009, 107.000, 107.000, 163.000,   0.000,   0.000,    7,   0.000
02:50:21:515, 291195856417502,    1.095,   58.000, 4300,  48.989,  17.855,   4.960,  43.302,  12.768,   3.547, 78,  0,   1.225,   0.980,   0.272,   0.164,   0.036,   0.010, 107.000, 107.000, 163.000,   0.000,   0.000,    2,   0.000

Total Elapsed Time (sec) = 1.095316
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 17.855347
Cumulative Processor Energy_0 (mWh) = 4.959819
Average Processor Power_0 (Watt) = 16.301554

Cumulative IA Energy_0 (Joules) = 12.768311
Cumulative IA Energy_0 (mWh) = 3.546753
Average IA Power_0 (Watt) = 11.657197

Cumulative DRAM Energy_0 (Joules) = 0.979736
Cumulative DRAM Energy_0 (mWh) = 0.272149
Average DRAM Power_0 (Watt) = 0.894479

Cumulative GT Energy_0 (Joules) = 0.035645
Cumulative GT Energy_0 (mWh) = 0.009901
Average GT Power_0 (Watt) = 0.032543
